param N := 7;

#Non Crash time
param NT :=
0	0
1	3
2	6
3	2
4	5
5	2
6	7
7	4
8	0;

#3 2
#5 2

#Normal cost
param CN :=
0	0
1	5000
2	14000
3	2500
4	10000
5	8000
6	11500
7	10000
8	0;
# Minimum time
param MT :=
0	0
1	2
2	4
3	1
4	3
5	2
6	5
7	2
8	0;

 

#CrashRate per week
param CR :=
0	0
1	5000
2	6000
3	2500
4	4000
5	0
6	3000
7	7000
8	0;

param PR :
	0	1	2	3	4	5	6	7	8	:=
0	0	1	1	1	0	0	0	0	0
1	0	0	0	0	1	0	1	0	0
2	0	0	0	0	0	0	0	1	0
3	0	0	0	0	0	1	0	0	0
4	0	0	0	0	0	0	0	1	0
5	0	0	0	0	0	0	0	1	0
6	0	0	0	0	0	0	0	0	1
7	0	0	0	0	0	0	0	0	1
8	0	0	0	0	0	0	0	0	0;
param T := 6;
param P := 10000;#10000
		
