# Number of farms
param n := 20;

# Truck capacity
param K := 80;

# Coordinates of farms (1 corresponds to the company location)
param: X Y :=
1	0	0
2	-3	3
3	1	11
4	4	7
5	-5	9
6	-5	-2
7	-4	-7
8	6	0
9	3	-6
10	-1	-3
11	0	-6
12	6	4
13	2	5
14	-2	8
15	6	10
16	1	8
17	-3	1
18	-6	5
19	2	9
20	-6	-5
21	5	-4;

# D = 1 if milk has to be picked up daily from the farm, o for alternate day pick-up
param D :=
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0;

# R = Quantity of milk to be picked up at once
param R :=
1	0
2	5
3	4
4	3
5	6
6	7
7	3
8	4
9	6
10	5
11	4
12	7
13	3
14	4
15	5
16	6
17	8
18	6
19	7
20	6
21	6;
